environment,safe,row_id,call_idx,y_factual,y_cf,causal_effect
travel_planning,False,0,6.0,0.0,0.0,0.0
travel_planning,False,1,0.0,1.0,1.0,0.0
travel_planning,False,10,7.0,0.0,0.0,0.0
travel_planning,False,11,5.0,1.0,1.0,0.0
travel_planning,False,12,9.0,1.0,1.0,0.0
travel_planning,False,13,2.0,1.0,1.0,0.0
travel_planning,False,14,0.0,0.0,0.0,0.0
travel_planning,False,15,0.0,1.0,1.0,0.0
travel_planning,False,16,8.0,0.0,0.0,0.0
travel_planning,False,17,10.0,0.0,0.0,0.0
travel_planning,False,18,0.0,1.0,1.0,0.0
travel_planning,False,19,0.0,0.0,0.0,0.0
travel_planning,False,2,6.0,0.0,0.0,0.0
travel_planning,False,20,14.0,0.0,0.0,0.0
travel_planning,False,22,5.0,1.0,1.0,0.0
travel_planning,False,23,0.0,0.0,0.0,0.0
travel_planning,False,24,0.0,0.0,0.0,0.0
travel_planning,False,25,4.0,1.0,1.0,0.0
travel_planning,False,26,16.0,0.0,0.0,0.0
travel_planning,False,27,10.0,1.0,1.0,0.0
travel_planning,False,3,6.0,1.0,1.0,0.0
travel_planning,False,30,0.0,0.0,0.0,0.0
travel_planning,False,31,0.0,0.0,0.0,0.0
travel_planning,False,32,46.0,0.0,0.0,0.0
travel_planning,False,36,17.0,1.0,1.0,0.0
travel_planning,False,37,12.0,0.0,0.0,0.0
travel_planning,False,38,10.0,0.0,0.0,0.0
travel_planning,False,39,25.0,1.0,1.0,0.0
travel_planning,False,4,0.0,0.0,0.0,0.0
travel_planning,False,40,14.0,0.0,0.0,0.0
travel_planning,False,41,6.0,1.0,1.0,0.0
travel_planning,False,42,17.0,0.0,0.0,0.0
travel_planning,False,43,0.0,1.0,1.0,0.0
travel_planning,False,47,4.0,1.0,1.0,0.0
travel_planning,False,48,2.0,1.0,1.0,0.0
travel_planning,False,5,12.0,1.0,1.0,0.0
travel_planning,False,6,46.0,0.0,0.0,0.0
travel_planning,False,7,0.0,0.0,0.0,0.0
travel_planning,False,8,4.0,0.0,0.0,0.0
travel_planning,False,9,0.0,0.0,0.0,0.0
travel_planning,True,0,6.0,1.0,1.0,0.0
travel_planning,True,1,0.0,0.0,0.0,0.0
travel_planning,True,10,7.0,0.0,0.0,0.0
travel_planning,True,11,5.0,0.0,0.0,0.0
travel_planning,True,12,6.0,1.0,1.0,0.0
travel_planning,True,13,2.0,1.0,1.0,0.0
travel_planning,True,14,0.0,0.0,0.0,0.0
travel_planning,True,15,0.0,0.0,0.0,0.0
travel_planning,True,16,8.0,0.0,0.0,0.0
travel_planning,True,17,10.0,0.0,0.0,0.0
travel_planning,True,18,0.0,1.0,1.0,0.0
travel_planning,True,19,0.0,0.0,0.0,0.0
travel_planning,True,2,6.0,0.0,0.0,0.0
travel_planning,True,20,14.0,0.0,0.0,0.0
travel_planning,True,22,5.0,1.0,1.0,0.0
travel_planning,True,23,0.0,0.0,0.0,0.0
travel_planning,True,24,0.0,0.0,0.0,0.0
travel_planning,True,25,6.0,1.0,1.0,0.0
travel_planning,True,26,16.0,0.0,0.0,0.0
travel_planning,True,27,4.0,1.0,1.0,0.0
travel_planning,True,3,6.0,1.0,1.0,0.0
travel_planning,True,30,0.0,0.0,0.0,0.0
travel_planning,True,31,0.0,0.0,0.0,0.0
travel_planning,True,32,46.0,0.0,0.0,0.0
travel_planning,True,36,13.0,1.0,1.0,0.0
travel_planning,True,37,12.0,0.0,0.0,0.0
travel_planning,True,38,10.0,0.0,0.0,0.0
travel_planning,True,39,15.0,0.0,0.0,0.0
travel_planning,True,4,0.0,0.0,0.0,0.0
