row_id,call_idx,y_factual,y_cf_mean,causal_effect_mean,n_samples,target_agent,cf_agent
0,0,0.0,0.0,0.0,1,ANSWER,agent_0
0,1,0.0,0.0,0.0,1,ANSWER,agent_1
0,2,0.0,0.0,0.0,1,ANSWER,agent_2
0,3,0.0,0.0,0.0,1,ANSWER,agent_3
0,4,0.0,0.0,0.0,1,ANSWER,agent_4
0,5,0.0,0.0,0.0,1,ANSWER,agent_0
0,6,0.0,0.0,0.0,1,ANSWER,agent_1
0,7,0.0,0.0,0.0,1,ANSWER,agent_2
0,8,0.0,0.0,0.0,1,ANSWER,agent_3
0,9,0.0,0.0,0.0,1,ANSWER,agent_4
0,10,0.0,0.0,0.0,1,ANSWER,agent_0
0,11,0.0,0.0,0.0,1,ANSWER,agent_1
0,12,0.0,0.0,0.0,1,ANSWER,agent_2
0,13,0.0,0.0,0.0,1,ANSWER,agent_3
1,0,0.0,0.0,0.0,1,ANSWER,agent_0
1,1,0.0,0.0,0.0,1,ANSWER,agent_1
1,2,0.0,0.0,0.0,1,ANSWER,agent_2
1,3,0.0,0.0,0.0,1,ANSWER,agent_3
1,4,0.0,0.0,0.0,1,ANSWER,agent_4
1,5,0.0,0.0,0.0,1,ANSWER,agent_0
1,6,0.0,0.0,0.0,1,ANSWER,agent_1
1,7,0.0,0.0,0.0,1,ANSWER,agent_2
1,8,0.0,0.0,0.0,1,ANSWER,agent_3
1,9,0.0,0.0,0.0,1,ANSWER,agent_4
1,10,0.0,0.0,0.0,1,ANSWER,agent_0
1,11,0.0,0.0,0.0,1,ANSWER,agent_1
1,12,0.0,0.0,0.0,1,ANSWER,agent_2
1,13,0.0,0.0,0.0,1,ANSWER,agent_3
2,0,0.0,0.0,0.0,1,ANSWER,agent_0
2,1,0.0,0.0,0.0,1,ANSWER,agent_1
2,2,0.0,0.0,0.0,1,ANSWER,agent_2
2,3,0.0,0.0,0.0,1,ANSWER,agent_3
2,4,0.0,0.0,0.0,1,ANSWER,agent_4
2,5,0.0,0.0,0.0,1,ANSWER,agent_0
2,6,0.0,0.0,0.0,1,ANSWER,agent_1
2,7,0.0,0.0,0.0,1,ANSWER,agent_2
2,8,0.0,0.0,0.0,1,ANSWER,agent_3
2,9,0.0,0.0,0.0,1,ANSWER,agent_4
2,10,0.0,0.0,0.0,1,ANSWER,agent_0
2,11,0.0,0.0,0.0,1,ANSWER,agent_1
2,12,0.0,0.0,0.0,1,ANSWER,agent_2
2,13,0.0,0.0,0.0,1,ANSWER,agent_3
3,0,1.0,1.0,0.0,1,ANSWER,agent_0
3,1,1.0,1.0,0.0,1,ANSWER,agent_1
3,2,1.0,1.0,0.0,1,ANSWER,agent_2
3,3,1.0,1.0,0.0,1,ANSWER,agent_3
3,4,1.0,1.0,0.0,1,ANSWER,agent_4
